Max Depth / Max Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.2740 / 0.2664,0.2518 / 0.2544,0.2918 / 0.2872,0.3212 / 0.3086,0.2918 / 0.2872,0.2740 / 0.2664,0.2740 / 0.2664,0.2984 / 0.2944,0.3010 / 0.2932,0.3010 / 0.2932,0.3154 / 0.3096,0.3010 / 0.2932,0.2894 / 0.2836,0.3212 / 0.3086,0.3154 / 0.3096
2,0.2986 / 0.2914,0.3246 / 0.3066,0.3160 / 0.3140,0.3528 / 0.3428,0.3366 / 0.3288,0.3482 / 0.3290,0.3186 / 0.2964,0.3390 / 0.3308,0.3464 / 0.3376,0.3626 / 0.3510,0.3642 / 0.3464,0.3548 / 0.3450,0.3494 / 0.3400,0.3492 / 0.3404,0.3542 / 0.3434
3,0.3436 / 0.3306,0.3328 / 0.3304,0.3284 / 0.3292,0.3712 / 0.3550,0.3752 / 0.3648,0.3828 / 0.3572,0.3904 / 0.3728,0.3618 / 0.3514,0.3882 / 0.3622,0.3782 / 0.3626,0.3818 / 0.3560,0.3864 / 0.3706,0.4026 / 0.3832,0.3960 / 0.3778,0.3812 / 0.3668
4,0.3416 / 0.3222,0.3996 / 0.3778,0.3968 / 0.3616,0.4114 / 0.3788,0.3906 / 0.3622,0.4228 / 0.3904,0.3966 / 0.3704,0.4162 / 0.3960,0.3952 / 0.3754,0.3906 / 0.3706,0.4186 / 0.3928,0.4170 / 0.3870,0.4420 / 0.4218,0.4224 / 0.3908,0.4264 / 0.4062
5,0.3562 / 0.3350,0.3886 / 0.3668,0.4136 / 0.3762,0.4222 / 0.3830,0.4198 / 0.3774,0.4156 / 0.3810,0.4378 / 0.4038,0.4390 / 0.3932,0.4464 / 0.3978,0.4334 / 0.3968,0.4322 / 0.3952,0.4490 / 0.4000,0.4456 / 0.3894,0.4422 / 0.3904,0.4312 / 0.3910
6,0.4054 / 0.3590,0.4470 / 0.3966,0.4540 / 0.4104,0.4548 / 0.4094,0.4478 / 0.3948,0.4604 / 0.4020,0.4792 / 0.4250,0.4730 / 0.4078,0.4794 / 0.4082,0.4832 / 0.4156,0.4844 / 0.4220,0.4824 / 0.4278,0.4838 / 0.4338,0.4844 / 0.4306,0.4696 / 0.4132
7,0.4352 / 0.3908,0.4478 / 0.3690,0.4620 / 0.3796,0.4792 / 0.4054,0.4898 / 0.3956,0.4910 / 0.4122,0.5080 / 0.4168,0.4970 / 0.4080,0.5136 / 0.4206,0.5252 / 0.4288,0.5030 / 0.4194,0.5068 / 0.4176,0.5142 / 0.4148,0.5158 / 0.4246,0.5256 / 0.4214
8,0.4266 / 0.3482,0.5016 / 0.3918,0.5210 / 0.4054,0.5276 / 0.4178,0.5440 / 0.4212,0.5240 / 0.4174,0.5522 / 0.4176,0.5388 / 0.4216,0.5634 / 0.4164,0.5496 / 0.4252,0.5568 / 0.4278,0.5812 / 0.4304,0.5710 / 0.4186,0.5608 / 0.4222,0.5602 / 0.4228
9,0.5008 / 0.3724,0.5278 / 0.3950,0.5354 / 0.4014,0.5754 / 0.4126,0.5724 / 0.3978,0.5832 / 0.4050,0.5954 / 0.4230,0.5952 / 0.4194,0.5724 / 0.4256,0.5868 / 0.4192,0.6134 / 0.4204,0.6146 / 0.4134,0.6170 / 0.4250,0.6082 / 0.4258,0.6238 / 0.4206
10,0.5560 / 0.3898,0.5982 / 0.4052,0.5918 / 0.4072,0.6338 / 0.4164,0.6490 / 0.4202,0.6410 / 0.4152,0.6454 / 0.4122,0.6934 / 0.4106,0.6166 / 0.3924,0.6530 / 0.4142,0.6396 / 0.4140,0.6882 / 0.4252,0.6728 / 0.4374,0.6596 / 0.4266,0.6700 / 0.4150
11,0.5890 / 0.3774,0.6190 / 0.3936,0.6498 / 0.4178,0.6814 / 0.4130,0.7208 / 0.4076,0.6920 / 0.4154,0.7240 / 0.4126,0.7090 / 0.4130,0.6976 / 0.4284,0.7184 / 0.4214,0.7360 / 0.4146,0.7102 / 0.4130,0.7406 / 0.4268,0.7478 / 0.4114,0.7500 / 0.4260
12,0.6386 / 0.3878,0.6994 / 0.3866,0.7184 / 0.4042,0.6992 / 0.4054,0.7294 / 0.4100,0.7440 / 0.4180,0.7556 / 0.4022,0.7626 / 0.4078,0.7934 / 0.4022,0.7948 / 0.4024,0.7914 / 0.3974,0.7870 / 0.4044,0.7938 / 0.4134,0.7796 / 0.4138,0.7998 / 0.4148
13,0.6832 / 0.3878,0.7192 / 0.3936,0.7512 / 0.3990,0.7438 / 0.3940,0.7868 / 0.4134,0.7382 / 0.4122,0.8052 / 0.4124,0.8002 / 0.4008,0.8142 / 0.4062,0.8014 / 0.4082,0.8174 / 0.4070,0.8308 / 0.4074,0.8298 / 0.4026,0.8344 / 0.4144,0.8376 / 0.4086
14,0.7622 / 0.3764,0.7730 / 0.3908,0.7562 / 0.4070,0.8246 / 0.4060,0.8736 / 0.3766,0.8006 / 0.4042,0.8528 / 0.4100,0.8502 / 0.4104,0.8520 / 0.3986,0.8156 / 0.4014,0.8546 / 0.4154,0.8778 / 0.4256,0.8632 / 0.4110,0.8818 / 0.4152,0.8692 / 0.4070
15,0.7714 / 0.3820,0.8232 / 0.3878,0.8500 / 0.3898,0.8554 / 0.4024,0.8438 / 0.4078,0.8878 / 0.3936,0.8628 / 0.4086,0.8770 / 0.4166,0.8716 / 0.4024,0.9334 / 0.4014,0.9116 / 0.4066,0.9038 / 0.4038,0.9104 / 0.4068,0.9100 / 0.4104,0.8702 / 0.4234
